cancer,K_c,feature_name_internal,feature_name_display,beta,transform,selection_frequency_30run
IDC,5,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.1287982419490632,integer_count,1.0
IDC,5,PW_TP53_mut_rate_z,TP53_mut_rate,0.1910569407853244,zscore_msk_train,1.0
IDC,5,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,binary,1.0
IDC,5,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,composite_no_zscore,0.933
IDC,5,PW_RTK_RAS_amp_hit,RTK_RAS_amp_hit,-0.0748992021830237,binary,1.0
LUAD,5,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,integer_count,1.0
LUAD,5,PW_TP53_any_rate_z,TP53_any_rate,0.1080257770980312,zscore_msk_train,1.0
LUAD,5,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,zscore_msk_train,1.0
LUAD,5,PW_NRF2_zsum,NRF2_zsum,0.1115316999404081,composite_no_zscore,0.933
LUAD,5,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,zscore_msk_train,0.9
PAAD,5,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.0692034298894908,integer_count,1.0
PAAD,5,PW_RTK_RAS_amp_hit,RTK_RAS_amp_hit,0.2549434141016316,binary,0.933
PAAD,5,PW_TP53_mut_rate_z,TP53_mut_rate,0.0547869486251455,zscore_msk_train,0.933
PAAD,5,PW_TGF_Beta_any_rate_z,TGF_Beta_any_rate,-0.0209569850103073,zscore_msk_train,0.9
PAAD,5,PW_MYC_any_rate_z,MYC_any_rate,0.0602909699661271,zscore_msk_train,0.867
PRAD,4,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.170726413463327,integer_count,1.0
PRAD,4,PW_Chromatin_sv_hit,Chromatin_sv_hit,0.353490516829342,binary,0.933
PRAD,4,PW_Cell_Cycle_zsum,Cell_Cycle_zsum,0.0369475139329462,composite_no_zscore,0.933
PRAD,4,PW_WNT_zsum,WNT_zsum,-0.0416356717449581,composite_no_zscore,0.9
CRC,5,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.0017846181549948,integer_count,1.0
CRC,5,PW_DDR_zsum,DDR_zsum,-0.1158133668606138,composite_no_zscore,0.933
CRC,5,PW_RTK_RAS_any_rate_z,RTK_RAS_any_rate,0.0361183793032305,zscore_msk_train,1.0
CRC,5,PW_TGF_Beta_amp_hit,TGF_Beta_amp_hit,0.7813980789578783,binary,0.933
CRC,5,PW_Chromatin_any_rate_z,Chromatin_any_rate,-0.1796250971828362,zscore_msk_train,0.9
